id,Authentichumilityfeelings,Degradinghumilityfeelings,humtot,emptot,toltot,hex,bhs,cole,Attitude,gender,age
42,5.25,5,4.85,4.36,5.56,4.75,4.67,5.13,2,2,32
43,4.25,5.2,5.26,3.91,4.11,5,5.67,5.13,4.33,1,34
44,3.63,1.6,3.71,4.82,4,3.75,4,3.38,1.33,2,36
45,4.75,3.6,5.75,5.73,6.56,6.25,6,5,4.33,2,39
46,6.63,3.2,6.42,4.73,4.67,6.75,6.5,6,2,1,27
47,5,3.2,4.51,4,3.11,4,4.67,4.88,2,2,23
48,5.5,5.2,4.89,4.55,3.78,5.5,5.17,4,2,2,21
49,5.5,2.4,4.72,4.64,4.44,4.5,3.67,6,5.33,2,61
50,5.63,3.2,5.75,3.36,5.67,7,6,4.25,2.67,1,30
51,4.38,4.2,4.54,3.91,3.44,4.75,4.5,4.38,3.67,2,27
52,5,4,6.08,5.27,6.33,7,6.5,4.75,1,2,31
53,4.13,2,5.46,5.09,4.89,6.5,5.5,4.38,1,1,32
54,5.5,6.2,5.43,4.45,5.56,5.75,5.67,4.88,4.33,2,27
55,5.5,5.6,5.54,4.82,5.89,6,5.5,5.13,1.67,1,37
56,7,2.4,6.56,5,6,7,6.67,6,2.33,2,59
57,5,2.6,5.14,4,4.56,5.5,4.67,5.25,4.33,2,24
58,5.38,2.4,5.18,3.36,3.56,5.75,5.17,4.63,3,2,31
59,6.38,3.8,6.07,4.09,4.11,7,6.83,4.38,1,2,38
60,4.13,2.2,4.86,4.82,5,5.25,4.83,4.5,4.33,2,56
61,4.75,2.6,3.93,3.64,4.44,5,3.67,3.13,3,2,28
62,6.38,4.2,5.5,4.45,4,7,6,3.5,4.67,1,28
63,4,5.2,5.54,4.09,5.56,5.25,6.5,4.88,2.67,1,27
64,4.5,3.6,5.96,5.91,5.67,7,5.5,5.38,5,2,42
65,4.25,1,5.54,5.36,4.44,6.25,5.5,4.88,4.67,2,41
66,5.13,4.4,6.08,5.27,5.89,6.25,5.5,6.5,5,2,38
67,2.75,1.8,3.13,4.55,4.78,2,3,4.38,3.33,2,30
68,6.25,4,6.53,5.27,5.33,7,6.33,6.25,4.33,1,43
69,5.88,3.6,4.99,4,5.11,4.75,4.33,5.88,2,2,20
70,4.25,5.6,6.38,3.91,3.78,6.75,6,6.38,5.33,1,37
71,3.5,5,6.36,1.64,1.56,7,6.83,5.25,1,2,37
72,6.88,2.6,6.07,4.27,5.89,7,6.33,4.88,3.67,2,72
73,4.75,4.4,5.47,3.45,4.33,5.75,5.67,5,1.33,2,19
74,,3.6,6.39,5.55,5.78,6.75,6.17,6.25,4,2,61
75,6.63,2.2,6.78,6.18,7,7,6.33,7,3,2,53
76,5.25,2.8,3.33,4.09,4.22,3.25,3,3.75,4.33,2,29
77,6.88,1.6,7,5.73,7,7,7,7,6.67,2,46
78,4.13,3.6,4.17,3.82,5.11,4.5,4,4,3.67,2,27
79,5.63,1.2,5.32,3.55,5.44,6.5,5.33,4.13,2,2,62
80,6.38,3.8,6.4,5.27,4.67,7,6.83,5.38,3.33,1,31
81,5.38,3.2,4.63,1.64,2.11,5.5,4.5,3.88,1.33,1,45
82,3.88,5,5.51,5.36,5.33,7,5.67,3.88,1,2,36
83,5.75,3.2,5.71,3.36,4.22,6,5,6.13,3.33,1,73
84,4.5,4.4,5.53,3.45,2.67,6.25,5.83,4.5,1.33,2,33
85,5.5,4,4.82,3.27,4,4.75,5.33,4.38,1.67,2,42
86,4.5,4.8,4.47,3.27,3,5,4.67,3.75,2,1,26
87,6,1.2,4.83,4.73,7,4.25,4.5,5.75,6,2,26
88,4.63,5.2,5.57,3.64,3.22,6.75,5.83,4.13,1,1,45
89,4.88,3.6,4.25,3.73,4.67,3.75,4.5,4.5,3.33,1,44
90,4.5,6,5.19,2.64,5.33,5.5,5.83,4.25,1.33,2,28
91,4.5,2.2,5.9,5.45,4.89,6.25,6.33,5.13,2,2,47
92,5,2.8,6.08,2,3.44,7,6.5,4.75,1,1,46
93,6.63,1.6,4.29,3,2.22,4,4.5,4.38,1.33,2,23
94,3.88,5.8,5.11,3,4.67,6.25,6.33,2.75,2.33,,27
95,4.75,1.8,4.94,5.09,5.33,4.75,4.83,5.25,5.33,1,46
96,4.75,3,4.88,3.73,4,5.25,5,4.38,3.33,1,62
97,5,5.2,5.38,4.64,5.11,6.75,6,3.38,1.33,1,36
98,7,3.2,6.33,4.64,6,7,5.5,6.5,1.33,2,55
99,4.25,4.2,5.44,4,5.22,6.75,4.83,4.75,3,1,36
100,4.25,6.4,6.79,4.27,5,7,7,6.38,4,1,36
101,4.25,6.2,5.86,3,5,6.5,6.33,4.75,1,2,34
102,5,4.2,5.14,3.55,3.33,6.75,5.67,3,2,2,31
103,6.63,6.4,6.56,5.27,6.22,7,6.67,6,3.33,2,39
104,4.25,5.2,5.08,3,2.22,6.25,5.5,3.5,1.33,2,34
105,6.38,1.6,5.82,4,6.22,6.75,6.33,4.38,2.33,1,33
106,5.75,5.8,6.11,4.09,4.67,6.25,5.83,6.25,2,2,72
107,4.75,3.6,5.24,4.18,4.56,6,4.83,4.88,3.33,1,56
108,6.38,1,6.14,4.09,4.56,7,5.17,6.25,2,1,47
109,5.5,1.8,5.11,3,3.56,6,5.83,3.5,1.33,2,62
110,4.63,3.6,6.28,4.27,5.78,7,6.33,5.5,5,1,33
111,5.63,2.8,5.54,2.82,4,5.75,5,5.88,1,2,49
112,6.38,2.8,6.28,5.55,4.33,7,6.83,5,4,2,55
113,7,1,5.08,4.73,6,4,5,6.25,4,1,41
114,5.5,4.6,5.57,4.45,4.89,6.5,5.83,4.38,1.33,2,26
115,5.25,3.8,4.69,4.64,5.22,4,4.33,5.75,5,1,51
116,4.5,3.4,4.19,4.27,4.67,4.25,3.83,4.5,4.33,1,39
117,4.5,3,3.97,4.27,5.11,4.5,4.17,3.25,2.33,2,73
118,4.5,5.4,5.03,3.45,3,5.75,5.33,4,1.67,2,39
119,5.38,3.2,5.5,3.45,4.89,6,6,4.5,1,2,67
120,4.75,3,4.32,2.82,4.44,4.75,4.33,3.88,3,1,51
121,5,2.6,4.94,3.36,4,5,5.33,4.5,1.67,2,34
122,5.38,3.8,4.86,4.45,4.22,5.5,5.33,3.75,1.67,1,38
123,5.38,4.6,6.67,4.82,7,7,6,7,1,2,38
124,5.25,4,4.17,3.73,3.22,4.5,4.5,3.5,1.67,2,27
125,6,2,6.4,3,5.67,7,6.83,5.38,3,1,43
126,6.13,2.8,6.32,4.73,6,7,6.33,5.63,2.67,2,27
127,6,1.2,4.29,4.27,5.22,4.25,4,4.63,3.67,1,22
128,5.25,2.4,5.32,4.18,5,6.25,5.33,4.38,1,2,40
129,5.5,2.6,5.81,4.18,5.56,5.25,6.67,5.5,1.67,2,33
130,4.88,1,5.31,5.18,5.89,6.25,5.67,4,4.67,2,60
131,5,2.8,5.13,4.73,5.89,5.75,5,4.63,2.33,2,30
132,5.75,1.6,6.4,4,3.44,7,6.83,5.38,4,1,60
133,5.38,5.8,6.58,6.18,7,7,7,5.75,2,2,44
134,5.13,5,6.04,4.27,5.33,7,6.5,4.63,1.67,2,54
135,4.63,5,4.32,4.55,4.56,3.75,4.33,4.88,3.33,1,54
136,5.75,5.8,5.86,4.91,4.67,6.75,5.33,5.5,1,2,67
137,4.63,4.8,5.4,4.27,3.56,5.75,5.33,5.13,2,2,22
138,5.75,2.8,4.49,4.27,4.89,5.25,3.83,4.38,1.67,,29
139,4.88,2.4,4.42,3.82,3.89,4,4.5,4.75,1.33,2,54
140,5.63,3.2,6.68,5.09,7,7,6.67,6.38,3,2,41
141,5.5,1.2,5.28,5.09,5.11,4.5,5.33,6,6,2,38
142,5,2.8,5.64,4.91,5.22,6.75,6.17,4,3.33,2,58
143,4.5,1,3.9,3.27,3.11,3.75,3.83,4.13,2,2,41
144,4.88,5.2,5.69,5.36,5.22,5.5,5.83,5.75,4.67,2,41
145,4.38,5.8,5.39,4.73,4.67,5.5,5.17,5.5,2.33,2,48
146,5.63,3.4,5.38,4.91,5.33,5,5.5,5.63,3.33,2,34
147,2.88,4,5.97,3.73,4,7,6.17,4.75,1,2,46
148,4.88,1.8,3.01,5.36,5.56,2.25,2.67,4.13,3.33,2,33
149,5.63,2.8,4.89,3.18,5.33,4.5,4.67,5.5,6,1,54
150,5.38,1,4.96,3.45,4.33,5.25,7,2.63,4.67,2,69
151,5.25,3.2,5.18,1.64,1.22,5.5,5.67,4.38,1,,33
152,6.5,2,6.25,1.64,1.11,7,6,5.75,1,1,43
153,6.25,5,6.75,5.91,5.89,7,6.5,6.75,6.67,2,65
154,5,4,5.31,3.18,4.22,5.75,5.67,4.5,2.33,2,22
155,2.75,3,4.74,5.27,5.89,4.5,4.33,5.38,3.33,2,36
156,5.38,2.6,4.86,4.18,3.89,4.75,4.83,5,2,2,26
157,5.38,4.6,4.71,5.09,4.33,5.75,4,4.38,4.33,2,28
158,5,4,5.47,5.27,5,6,4.67,5.75,5.67,1,43
159,6.25,1.8,4.54,1.82,2,5.5,4.5,3.63,5,1,56
160,6.13,3.4,6.5,1.82,3,6.25,6.5,6.75,1,1,38
161,5.25,2.4,4.71,4.64,4.78,4.25,4.5,5.38,3.67,2,25
162,5,3.6,4.89,4.64,5.33,5.25,5.17,4.25,3.67,1,67
163,6.13,3.6,6.24,2.18,3.89,7,6.33,5.38,1,2,27
164,4.88,1.8,5.11,3.09,3.56,5.25,4.83,5.25,1,2,24
165,4.5,5.4,5.32,3.55,3.78,5.5,5.33,5.13,2.67,1,30
166,7,1,5.49,4.82,7,4,5.83,6.63,5,2,39
167,5.75,4.2,6.1,5,6.22,5.75,6.17,6.38,4.33,2,38
168,4.88,3,4.9,4,4,3.75,5.33,5.63,5,2,41
169,4.5,1,4.36,3.82,5,4.5,4.33,4.25,2,1,22
170,6,1,4.94,5.09,5.22,4.75,4.83,5.25,4.67,1,64
171,5.13,3,5.1,4.27,4.67,5,5.17,5.13,1.67,2,41
172,2.88,6.2,5.13,2.91,3.44,5.5,5.5,4.38,1.67,2,50
173,5.88,1.2,5.83,4.09,6,6.75,6,4.75,4,2,40
174,2.38,5.4,4.6,4.09,5.89,5,5.17,3.63,1.67,1,40
175,6.5,3.6,6.49,5.73,6.22,7,6.33,6.13,5.33,2,27
176,4.25,3.4,4.38,4.18,4,4,4.5,4.63,3.67,1,27
177,4.75,4.2,4.32,3.73,4.56,4.5,3.83,4.63,3.33,1,46
178,5.13,5.4,4.49,4,4.56,4.75,4.33,4.38,2,2,26
179,7,7,6.63,6.09,7,7,6.5,6.38,6.33,2,32
180,5.25,1.6,4.56,5,3.78,6.25,4.17,3.25,2,2,32
181,5.13,3.6,5.46,4.55,4.33,5.75,6,4.63,1,2,46
182,5.75,1.4,4.71,3.36,4.89,5,4,5.13,1.67,1,41
183,5.5,4.2,4.44,4.82,4.33,4,4.83,4.5,5,1,32
184,5.25,1.6,5.46,4,3.67,5.5,7,3.88,2.67,2,70
185,4.88,1.8,5.54,4.36,4.67,6,5.5,5.13,2,2,67
186,6.63,4.4,6.07,6.45,5.33,6.75,6.83,4.63,6.33,1,37
187,5.63,2.8,6.15,6.18,6.56,6,6.33,6.13,5.67,1,28
188,4.88,4.2,5.99,3.64,6.56,6.75,5.83,5.38,3,2,40
189,5.38,3.8,6.01,5.91,4.89,6.75,6.67,4.63,3,2,32
190,5.5,2.2,6.07,5.36,6.67,6,5.33,6.88,5,2,48
191,6.25,3.6,6.01,4.82,5.67,6.5,6.17,5.38,6,2,43
192,4.63,4.2,5.93,4.82,5.22,6.25,6.67,4.88,1,1,54
193,5.5,4,5.82,4.64,5.89,6,6.83,4.63,2.67,2,44
194,5.38,6.2,5.18,5.09,6.67,5.5,5.67,4.38,3.67,1,22
195,5.75,3.4,6,5.55,6.44,6.25,6,5.75,3.33,2,64
196,5.63,2.4,5.79,1.55,4.33,6.25,6,5.13,2,1,52
197,5.25,6,5.72,3.64,3.78,6.75,6.17,4.25,3,2,36
198,3.75,3.8,4.76,3.18,3.22,4.75,4.67,4.88,3.33,,40
199,5.75,6.4,5.99,1.73,5,7,6.33,4.63,1,2,27
200,4.88,1.8,4.54,4.27,5.78,4.5,4,5.13,4.67,1,49
201,4,3.8,4.08,3.82,5.22,4,3.5,4.75,5.33,2,36
202,6.38,2.2,4.31,5,6,3.75,4.67,4.5,6.67,1,43
203,2.63,6.4,5.32,3.91,3.89,6.75,5.83,3.38,1,,19
204,4.88,1,5.88,5.82,6.11,7,5.5,5.13,6.33,1,59
205,4.38,5.6,5.69,4.36,5.56,6.5,5.33,5.25,3,2,28
206,5,2.4,2.88,3.82,4,2.5,2,4.13,1.33,1,28
207,5,2,5.24,3.82,4.78,5.25,5.33,5.13,3.33,2,63
208,4.25,4.4,5.49,4.18,4.89,5.75,5.83,4.88,3.33,2,42
209,5.88,5.2,5.67,5.73,6.67,6.25,5.5,5.25,5.67,1,33
210,5.13,6,6.11,3.91,3.89,6.75,6.33,5.25,3.33,2,44
211,,,5.51,4.91,6,5.75,5.67,5.13,4.33,2,41
212,6.25,1.6,5.1,2.45,4.33,6.25,5.17,3.88,2.33,1,32
213,4.75,2.4,4.31,4.82,5,4.25,3.67,5,5,2,54
214,6,4.4,6.36,3.18,3,7,6.33,5.75,1,2,37
215,5.25,3.4,4.18,3.91,4.67,2.75,4.67,5.13,5.67,1,25
216,4.13,2.8,4.31,3,4.33,4,4.67,4.25,3,1,33
217,5.25,4.8,5.96,4.27,4.78,6.25,6,5.63,1.67,2,19
218,4.38,2.8,5.57,3.82,4,5.75,6.33,4.63,2,2,24
219,6.88,3.4,6.04,3.09,1.33,7,6,5.13,2,,45
220,6,1.4,6.18,4.64,4.67,6.5,6.17,5.88,5.33,2,49
221,5.38,5,4.28,4.18,4.11,4.5,4.33,4,4.67,1,40
222,4.13,4.2,4.64,3.18,3.67,5.25,4.67,4,4,2,39
223,4.88,4.8,4.86,4.18,4.56,4.75,5.33,4.5,3.67,1,39
224,5.75,1.6,5.46,5.64,6,6,5.5,4.88,5.67,1,66
225,6.13,2.4,6.24,2.55,1.67,7,6.83,4.88,1,1,32
226,5.63,5,4.81,3.45,5,5.25,4.67,4.5,3.33,1,28
227,5.25,3,5.78,5.82,6.11,6.5,6.33,4.5,5.33,2,48
228,3.88,3.4,4.36,3.45,3.33,4.25,4.33,4.5,3.33,2,29
229,5,5.2,5.06,4.73,4.33,5,5.17,5,1.67,1,21
230,4.25,4.2,6.4,5.91,4.67,7,5.83,6.38,6,2,63
231,6,1,5.63,3.36,3.56,5.75,6,5.13,1.33,2,31
232,4.75,2.6,5.54,5.82,6.11,7,6,3.63,5.33,1,30
233,4.88,4.6,4.89,5.36,6.89,5.25,4.67,4.75,5.67,1,39
234,6.25,1,5.97,6.27,7,7,6.17,4.75,5.67,2,67
235,4.75,4,5.53,4.73,2.78,6.5,6.33,3.75,1.33,2,38
236,6,2,5.96,4.73,5.44,7,6.5,4.38,3.67,1,31
237,3.63,3.6,4.53,3.27,4.67,5.5,3.83,4.25,3.67,1,54
238,6.13,1.6,6.29,4.27,7,7,7,4.88,3,2,34
239,4.25,3.6,5.78,4.27,4.11,6.5,6.33,4.5,1.67,2,32
240,4.88,1,4.38,4,3.5,5.5,3.5,4.13,3,2,42
241,5.5,3.4,4.4,5.27,4.67,4.25,3.33,5.63,5.67,1,26
242,4.5,5.4,3.83,2.09,5.67,3.25,4.5,3.75,3,1,45
243,5.13,3.2,4.82,4.09,4.44,4.75,4.83,4.88,3.33,2,22
244,5.25,3,6.01,4.36,4.44,6.5,6.17,5.38,4,1,38
245,6.25,4.2,6.1,4.82,6.67,6.75,6.17,5.38,1.33,2,35
246,5.13,1.6,4,3.91,4.56,3.5,3,5.5,2.67,1,30
247,3.63,3.4,4.65,4.09,3.89,6.5,4.33,3.13,3.33,1,43
248,7,1.2,5.56,4.09,5.78,6,5.17,5.5,3.67,2,49
249,5,3.4,5.21,3.27,3.78,5.25,5.5,4.88,4,2,50
250,6.13,2.2,4,5.27,5.22,2.5,3.5,6,3.33,2,67
251,5.25,4.2,4.97,4.27,6.22,5,4.67,5.25,4.33,1,19
252,4.88,3.6,5.35,4.73,4.78,5.75,5.67,4.63,1,2,33
253,4.13,4.8,5.64,3.82,5.22,6.25,6.17,4.5,1,2,34
254,4.13,3.4,4.88,1.91,1.33,5,4.5,5.13,1,2,27
255,5.13,3.6,4.32,5.18,5.33,4.5,4.33,4.13,4.67,2,36
256,7,2.2,6.83,5.73,6.67,7,6.5,7,4,1,61
257,6,2.2,5.72,4.73,4.67,6.5,5.67,5,3,1,59
258,3,6.2,5.43,4.36,3,7,5.17,4.13,2,1,40
259,5.38,1.6,6.43,6.27,6.22,7,6.67,5.63,3,1,26
260,5.5,2.6,5.79,5.36,4.33,6.25,5,6.13,4.33,2,51
261,7,2.6,5.85,5,5.22,7,5.17,5.38,4.67,2,28
262,5.88,2.4,5.11,4.91,5.11,4.75,5.33,5.25,2,2,30
263,5.13,3.6,5.82,5.45,5.22,7,5.83,4.63,4.33,1,59
264,,5.4,5.07,5.18,3.44,5.5,5.33,4.38,2.33,1,37
265,6.63,1.4,5.88,5.91,4.78,6.75,6,4.88,1.33,,56
266,5.25,3,4.36,4.45,5,4.25,4.33,4.5,5.33,1,32
267,4.25,3,5.25,4.55,4.67,5.75,6,4,3.67,2,45
268,4.75,2.2,4.68,5.09,5.22,5,4.17,4.88,6.33,2,25
269,5.88,2.4,5.68,3.27,4.22,6.75,6.17,4.13,1.67,2,45
270,4.88,4,5.35,4.91,4.89,6,5.67,4.38,5.33,1,76
271,,5.2,5.01,3.09,3,5.75,5.17,4.13,2,,27
272,4.63,4.4,4.07,3.64,3.89,3,3.83,5.38,3,2,31
273,3.75,3.6,5.83,2.18,2.67,7,6.5,4,1,,39
274,3.88,4.8,6.07,6,5.89,6.5,6.33,5.38,4.67,2,29
275,4.25,4,5.24,1.55,1.44,5.25,5.33,5.13,1,2,23
276,5.88,1.4,5.13,2.55,3.22,6,5,4.38,2.33,1,61
277,3.63,1.4,6.18,4.64,5.44,6.25,6.67,5.63,3,2,31
278,4.5,2.4,4.28,3.73,4.33,4.5,4.33,4,4.33,2,32
279,5.25,3.6,5.89,5.91,7,5.5,6.67,5.5,2.67,1,34
280,5.5,5.4,4.44,4.64,6,4,3.83,5.5,4,1,45
281,5.63,3.2,5.72,5,3.33,6.25,5.17,5.75,1,,25
282,5.88,4,5.75,2.55,3.78,6.25,5.5,5.5,2,2,63
283,6.13,1.6,4.78,4.18,5.22,4.5,4.33,5.5,4,1,26
284,6.25,2.2,6.72,6.45,7,7,6.17,7,6.33,2,35
285,4.88,1.8,4.53,2.27,2.89,4.5,4.83,4.25,1,1,27
286,7,1.6,4.86,4.27,5.22,5,4.83,4.75,4.67,2,41
287,5.88,1.6,5.47,5,5.11,5.5,5.67,5.25,6,2,69
288,4,2,5.29,3.55,4.56,5,6,4.88,4,1,59
289,5.5,5,5.89,3.91,3.56,6.25,6.17,5.25,1.33,2,26
290,,,4.9,6.73,6,4.5,4,6.2,4,1,60
291,4.75,3.2,4.07,3.18,3.89,4.75,4.33,3.13,2.33,1,60
292,5.13,5.2,5.57,5,4.22,5.75,6.83,4.13,3,2,64
293,4.13,4.4,3.86,4.18,4.56,3.75,3.83,4,3.33,2,28
294,4.63,1.8,6.08,4.91,5.56,6,5.5,6.75,4.67,2,27
295,4.63,4,5.31,6.18,5.67,6,5.17,4.75,4.33,2,31
296,5.5,3.6,6.19,4.91,7,5.5,6.33,6.75,5,1,43
297,6.63,3.6,5.11,4,4.56,5.25,3.83,6.25,7,2,34
298,4.25,1.4,1.61,2,1.78,1,1.83,2,2.33,1,65
299,4.88,2.4,4.57,5.09,6.11,4.5,4.83,4.38,5.67,2,27
300,6.88,2.4,6.35,5.36,5,7,6.67,5.38,1,1,38
301,7,1,4.83,4.27,5.67,5.5,5,4,2,1,28
302,6.25,4.2,6.06,5.36,4.78,6.25,5.67,6.25,2,2,42
303,5.63,5,6.18,6.09,5.89,6.75,6.17,5.63,5.33,2,46
304,4.13,2,4,6.18,7,3,4.5,4.5,4.67,1,40
305,6.75,1.2,6,5.09,5.44,7,6.5,4.5,4,2,65
306,5.88,4,6.07,5.09,6.44,7,6.33,4.88,4.33,1,28
307,5.63,5.4,5.99,4.09,4.22,6,6.33,5.63,2,1,23
308,5.75,5.2,5.25,2.82,3.78,5.25,5.5,5,1.33,1,21
309,5.25,4,4.96,5,5.56,4.75,4.5,5.63,4.33,2,29
310,4.88,1.6,4.18,3.09,4.89,4,3.67,4.88,5,2,35
311,3.88,5.6,6.06,3.18,4.22,7,6.17,5,2.67,1,37
312,5,5.6,6.15,3.18,4.11,6.75,6.33,5.38,2,2,28
313,5.75,2,5.46,3,3.67,6,5.5,4.88,2.33,2,68
314,5,2.2,5.94,4.82,5.44,6.25,6.33,5.25,2.33,2,67
315,5.5,4.2,5.69,5.82,6,7,5.33,4.75,3.33,2,42
316,4.75,1.8,4.79,5.09,6.11,4.75,5,4.63,5.67,1,56
317,5.25,5,5.68,4.55,4.89,7,5.67,4.38,2.67,1,49
318,6.13,2.2,5.17,4.82,4.33,6,5.5,4,3.33,1,54
319,3.75,1,3.24,4.18,3.67,3.25,2.83,3.63,5,1,44
320,4.75,4.8,5.68,5.09,5.78,6.25,5.67,5.13,4.33,2,22
321,5.5,6.2,4.94,5.18,6.11,5,4.33,5.5,4,2,20
322,5.13,3.4,4.64,4.36,4.89,5.75,4.67,3.5,3.33,1,71
323,4.13,4.6,4,4.36,4.67,3.75,4.5,3.75,4.33,1,25
324,5.88,1.2,5.01,5.82,5.11,5.25,5.17,4.63,5,2,52
325,3.88,2,5.4,3.91,6.11,5.5,5.33,5.38,1.33,2,43
326,5,4,5.42,4.09,6.11,5.75,5,5.5,2,2,56
327,5.75,2.4,5.38,4.45,4.89,4.75,6,5.38,4.33,1,42
328,5.63,2.6,5.67,3.36,3.78,6.5,5.5,5,2.67,2,26
329,6,2.6,4.56,5.91,6.56,4.5,3.67,5.5,6.67,1,46
330,6.38,4.8,6.43,5.09,6.44,7,6.17,6.13,5.67,1,18
331,6.5,7,6.42,4.73,5.78,6.75,6.5,6,4,2,35
332,,3,4.94,3.55,4.22,5,4.83,5,3.67,1,19
333,6.63,2.4,5.63,6.09,6.78,7,6,3.88,5.67,2,36
334,6,1,5.03,5.36,5.67,5,4.83,5.25,3.33,1,50
335,3.75,2.2,3.76,4.18,4,4,3.67,3.63,4.33,1,44
336,3.63,2.4,4.99,3.09,4.56,5.5,5.83,3.63,1.33,1,26
337,5,2.6,4.19,4.64,4.22,5,4.33,3.25,1.67,2,36
338,5.38,2.4,6.32,5.27,5.44,7,6.33,5.63,3.33,2,31
339,5.75,2.8,6.13,5.91,6.33,6.5,6,5.88,5,2,74
340,4.38,4.2,5.83,4.91,4.22,6.25,5.5,5.75,2.33,2,39
341,5.5,3.6,5,5.18,7,6,5.5,3.5,3.67,1,63
342,4,4,5.19,2.09,2,5.25,5.83,4.5,1,2,39
