id,Authentichumilityfeelings,Degradinghumilityfeelings,humtot,emptot,toltot,hex,bhs,cole,Attitude,gender,age
100,4.25,6.4,6.79,5,5.25,7,7,6.38,4.75,1,36
101,4.25,6.2,5.86,4.07,5,6.5,6.33,4.75,1.75,2,34
102,5,4.2,5.14,4.47,4,6.75,5.67,3,2.75,2,31
103,6.63,6.4,6.56,5.73,6.42,7,6.67,6,4,2,39
104,4.25,5.2,5.08,3.6,2.5,6.25,5.5,3.5,1.25,2,34
105,6.38,1.6,5.82,4.4,6.17,6.75,6.33,4.38,2.75,1,33
106,5.75,5.8,6.11,4.6,5,6.25,5.83,6.25,2.75,2,72
107,4.75,3.6,5.24,4.53,4.58,6,4.83,4.88,3,1,56
108,6.38,1,6.14,4.47,4.67,7,5.17,6.25,2,1,47
109,5.5,1.8,5.11,3.87,4,6,5.83,3.5,1.5,2,62
110,4.63,3.6,6.28,5,6,7,6.33,5.5,5.5,1,33
111,5.63,2.8,5.54,3.8,4.9,5.75,5,5.88,1,2,49
112,6.38,2.8,6.28,5.93,5,7,6.83,5,4,2,55
113,7,1,5.08,5.33,6,4,5,6.25,4,1,41
114,5.5,4.6,5.57,4.6,5.08,6.5,5.83,4.38,1.25,2,26
115,5.25,3.8,4.69,5,5.5,4,4.33,5.75,4.5,1,51
116,4.5,3.4,4.19,4.27,4.58,4.25,3.83,4.5,4.25,1,39
117,4.5,3,3.97,4.27,5.08,4.5,4.17,3.25,2.75,2,73
118,4.5,5.4,5.03,4.2,3.5,5.75,5.33,4,1.5,2,39
119,5.38,3.2,5.5,4.13,5.17,6,6,4.5,1.5,2,67
120,4.75,3,4.32,3.73,4.83,4.75,4.33,3.88,3.5,1,51
121,5,2.6,4.94,4.13,4.25,5,5.33,4.5,2,2,34
122,5.38,3.8,4.86,5.07,4.67,5.5,5.33,3.75,1.75,1,38
123,5.38,4.6,6.67,5,7,7,6,7,1,2,38
124,5.25,4,4.17,4.13,3.5,4.5,4.5,3.5,2.75,2,27
125,6,2,6.4,4.07,5.75,7,6.83,5.38,3.5,1,43
126,6.13,2.8,6.32,5.27,6,7,6.33,5.63,3.5,2,27
127,6,1.2,4.29,4.93,5.42,4.25,4,4.63,4.25,1,22
128,5.25,2.4,5.32,4.33,5,6.25,5.33,4.38,1.75,2,40
129,5.5,2.6,5.81,4.87,5.92,5.25,6.67,5.5,1.75,2,33
130,4.88,1,5.31,5.4,5.92,6.25,5.67,4,4.75,2,60
131,5,2.8,5.13,4.93,6,5.75,5,4.63,2.5,2,30
132,5.75,1.6,6.4,4.8,4.08,7,6.83,5.38,4.5,1,60
133,5.38,5.8,6.58,6.4,7,7,7,5.75,3.25,2,44
134,5.13,5,6.04,5,5.25,7,6.5,4.63,2.25,2,54
135,4.63,5,4.32,4.93,4.75,3.75,4.33,4.88,3.75,1,54
136,5.75,5.8,5.86,5.47,4.92,6.75,5.33,5.5,1.25,2,67
137,4.63,4.8,5.4,4.73,3.91,5.75,5.33,5.13,2.75,2,22
138,5.75,2.8,4.49,4.6,5.08,5.25,3.83,4.38,2.25,,29
139,4.88,2.4,4.42,4.67,4.58,4,4.5,4.75,2.5,2,54
140,5.63,3.2,6.68,5.6,7,7,6.67,6.38,3,2,41
141,5.5,1.2,5.28,5.6,5.58,4.5,5.33,6,6,2,38
142,5,2.8,5.64,5.47,5.5,6.75,6.17,4,3.75,2,58
143,4.5,1,3.9,4.27,3.83,3.75,3.83,4.13,2.75,2,41
144,4.88,5.2,5.69,5.47,5.25,5.5,5.83,5.75,4.75,2,41
145,4.38,5.8,5.39,5.33,5.17,5.5,5.17,5.5,3.5,2,48
146,5.63,3.4,5.38,5.13,5.33,5,5.5,5.63,3.5,2,34
147,2.88,4,5.97,4,4,7,6.17,4.75,1.75,2,46
148,4.88,1.8,3.01,5.4,5.42,2.25,2.67,4.13,2.75,2,33
149,5.63,2.8,4.89,3.53,5.17,4.5,4.67,5.5,6.25,1,54
150,5.38,1,4.96,4,4.25,5.25,7,2.63,4,2,69
151,5.25,3.2,5.18,1.93,1.58,5.5,5.67,4.38,1,,33
152,6.5,2,6.25,3.07,2.33,7,6,5.75,2.5,1,43
153,6.25,5,6.75,6.2,5.83,7,6.5,6.75,6.5,2,65
154,5,4,5.31,3.87,4.5,5.75,5.67,4.5,2.25,2,22
155,2.75,3,4.74,5.73,6.17,4.5,4.33,5.38,4.25,2,36
156,5.38,2.6,4.86,4.73,4.25,4.75,4.83,5,1.75,2,26
157,5.38,4.6,4.71,5.6,4.58,5.75,4,4.38,4.75,2,28
158,5,4,5.47,5.73,5.42,6,4.67,5.75,5.25,1,43
159,6.25,1.8,4.54,3,2.67,5.5,4.5,3.63,5.5,1,56
160,6.13,3.4,6.5,3.2,4,6.25,6.5,6.75,2.5,1,38
161,5.25,2.4,4.71,4.8,4.92,4.25,4.5,5.38,4,2,25
162,5,3.6,4.89,5.13,5.5,5.25,5.17,4.25,3.75,1,67
163,6.13,3.6,6.24,3.13,4.42,7,6.33,5.38,1,2,27
164,4.88,1.8,5.11,3.93,4,5.25,4.83,5.25,1.5,2,24
165,4.5,5.4,5.32,4.47,4.42,5.5,5.33,5.13,3,1,30
166,7,1,5.49,5.4,7,4,5.83,6.63,5.5,2,39
167,5.75,4.2,6.1,5.53,6.42,5.75,6.17,6.38,4.5,2,38
168,4.88,3,4.9,4.27,4.5,3.75,5.33,5.63,5.25,2,41
169,4.5,1,4.36,4.67,5.33,4.5,4.33,4.25,2.75,1,22
170,6,1,4.94,5.07,5.33,4.75,4.83,5.25,4.5,1,64
171,5.13,3,5.1,4.8,5,5,5.17,5.13,1.5,2,41
172,2.88,6.2,5.13,3.53,3.83,5.5,5.5,4.38,2.75,2,50
173,5.88,1.2,5.83,4.27,6.17,6.75,6,4.75,4,2,40
174,2.38,5.4,4.6,4.87,5.92,5,5.17,3.63,3,1,40
175,6.5,3.6,6.49,6.07,6.42,7,6.33,6.13,5.25,2,27
176,4.25,3.4,4.38,4.4,4.08,4,4.5,4.63,3.5,1,27
177,4.75,4.2,4.32,4.07,4.67,4.5,3.83,4.63,4,1,46
178,5.13,5.4,4.49,4.8,5.08,4.75,4.33,4.38,3,2,26
179,7,7,6.63,6,6.83,7,6.5,6.38,6,2,32
180,5.25,1.6,4.56,5,3.75,6.25,4.17,3.25,2.25,2,32
181,5.13,3.6,5.46,5,4.58,5.75,6,4.63,2,2,46
182,5.75,1.4,4.71,3.93,5.17,5,4,5.13,2.25,1,41
183,5.5,4.2,4.44,4.93,4.42,4,4.83,4.5,4,1,32
184,5.25,1.6,5.46,4.64,4.25,5.5,7,3.88,3,2,70
185,4.88,1.8,5.54,4.67,4.92,6,5.5,5.13,3,2,67
186,6.63,4.4,6.07,6.6,5.5,6.75,6.83,4.63,6.5,1,37
187,5.63,2.8,6.15,6.2,6.5,6,6.33,6.13,6,1,28
188,4.88,4.2,5.99,4.53,6.58,6.75,5.83,5.38,4,2,40
189,5.38,3.8,6.01,6.13,5,6.75,6.67,4.63,3.25,2,32
190,5.5,2.2,6.07,5.6,6.75,6,5.33,6.88,5,2,48
191,6.25,3.6,6.01,5.27,5.75,6.5,6.17,5.38,6.25,2,43
192,4.63,4.2,5.93,5.13,5.42,6.25,6.67,4.88,1,1,54
193,5.5,4,5.82,5,6.08,6,6.83,4.63,2.25,2,44
194,5.38,6.2,5.18,5.33,6.75,5.5,5.67,4.38,3.5,1,22
195,5.75,3.4,6,5.6,6.5,6.25,6,5.75,2.75,2,64
196,5.63,2.4,5.79,3,4.75,6.25,6,5.13,2.5,1,52
197,5.25,6,5.72,4.53,4.5,6.75,6.17,4.25,4,2,36
198,3.75,3.8,4.76,4,3.92,4.75,4.67,4.88,3.5,,40
199,5.75,6.4,5.99,3.07,5.17,7,6.33,4.63,1,2,27
200,4.88,1.8,4.54,4.73,5.75,4.5,4,5.13,4.75,1,49
201,4,3.8,4.08,4.27,5,4,3.5,4.75,5.75,2,36
202,6.38,2.2,4.31,5.53,6.08,3.75,4.67,4.5,6.75,1,43
203,2.63,6.4,5.32,4.53,4.5,6.75,5.83,3.38,1.5,,19
204,4.88,1,5.88,6.13,6.08,7,5.5,5.13,6.5,1,59
205,4.38,5.6,5.69,4.8,5.67,6.5,5.33,5.25,3.25,2,28
206,5,2.4,2.88,4.53,4.5,2.5,2,4.13,1.25,1,28
207,5,2,5.24,4.6,5,5.25,5.33,5.13,4.25,2,63
208,4.25,4.4,5.49,4.67,5,5.75,5.83,4.88,3,2,42
209,5.88,5.2,5.67,5.8,6.67,6.25,5.5,5.25,5,1,33
210,5.13,6,6.11,4.73,4.42,6.75,6.33,5.25,4,2,44
211,,,5.51,5.47,6.17,5.75,5.67,5.13,5,2,41
212,6.25,1.6,5.1,3.67,4.5,6.25,5.17,3.88,3.5,1,32
213,4.75,2.4,4.31,5,5.08,4.25,3.67,5,4,2,54
214,6,4.4,6.36,4.2,4,7,6.33,5.75,1.25,2,37
215,5.25,3.4,4.18,4.2,4.67,2.75,4.67,5.13,4.5,1,25
216,4.13,2.8,4.31,3.67,4.67,4,4.67,4.25,2.75,1,33
217,5.25,4.8,5.96,4.67,4.83,6.25,6,5.63,2,2,19
218,4.38,2.8,5.57,4.4,4.08,5.75,6.33,4.63,2,2,24
219,6.88,3.4,6.04,4.13,2.75,7,6,5.13,3.25,,45
220,6,1.4,6.18,5.27,5.17,6.5,6.17,5.88,5.75,2,49
221,5.38,5,4.28,4.73,4.42,4.5,4.33,4,5.25,1,40
222,4.13,4.2,4.64,3.8,4.17,5.25,4.67,4,4.25,2,39
223,4.88,4.8,4.86,4.27,4.58,4.75,5.33,4.5,3.5,1,39
224,5.75,1.6,5.46,5.8,6,6,5.5,4.88,5.75,1,66
225,6.13,2.4,6.24,3.73,2.75,7,6.83,4.88,1.25,1,32
226,5.63,5,4.81,3.93,5.33,5.25,4.67,4.5,3.75,1,28
227,5.25,3,5.78,6.13,6.25,6.5,6.33,4.5,5.5,2,48
228,3.88,3.4,4.36,3.67,3.75,4.25,4.33,4.5,3.75,2,29
229,5,5.2,5.06,5.07,4.5,5,5.17,5,2.25,1,21
230,4.25,4.2,6.4,6.2,5,7,5.83,6.38,6.25,2,63
231,6,1,5.63,3.87,3.64,5.75,6,5.13,2.75,2,31
232,4.75,2.6,5.54,5.47,6.08,7,6,3.63,5.25,1,30
233,4.88,4.6,4.89,5.4,6.92,5.25,4.67,4.75,4.5,1,39
234,6.25,1,5.97,6.47,7,7,6.17,4.75,6,2,67
235,4.75,4,5.53,5.13,3.33,6.5,6.33,3.75,1.5,2,38
236,6,2,5.96,4.87,5.42,7,6.5,4.38,3,1,31
237,3.63,3.6,4.53,4.27,4.83,5.5,3.83,4.25,4.5,1,54
238,6.13,1.6,6.29,4.2,7,7,7,4.88,2.5,2,34
239,4.25,3.6,5.78,4.87,4.25,6.5,6.33,4.5,1.5,2,32
240,4.88,1,4.38,4.67,3.82,5.5,3.5,4.13,3.75,2,42
241,5.5,3.4,4.4,5.47,4.92,4.25,3.33,5.63,5.25,1,26
242,4.5,5.4,3.83,3,5.92,3.25,4.5,3.75,2.5,1,45
243,5.13,3.2,4.82,4.07,4.33,4.75,4.83,4.88,3.5,2,22
244,5.25,3,6.01,4.73,4.75,6.5,6.17,5.38,3.75,1,38
245,6.25,4.2,6.1,5.2,6.75,6.75,6.17,5.38,2,2,35
246,5.13,1.6,4,4.47,4.83,3.5,3,5.5,2.5,1,30
247,3.63,3.4,4.65,4.33,3.75,6.5,4.33,3.13,3.5,1,43
248,7,1.2,5.56,4.27,6.08,6,5.17,5.5,3.5,2,49
249,5,3.4,5.21,3.87,4.17,5.25,5.5,4.88,4.75,2,50
250,6.13,2.2,4,5.53,5.42,2.5,3.5,6,3.25,2,67
251,5.25,4.2,4.97,4.8,6.25,5,4.67,5.25,4.5,1,19
252,4.88,3.6,5.35,5.33,5.17,5.75,5.67,4.63,2,2,33
253,4.13,4.8,5.64,4.67,5.42,6.25,6.17,4.5,1.75,2,34
254,4.13,3.4,4.88,3.27,2.33,5,4.5,5.13,2,2,27
255,5.13,3.6,4.32,5.27,5.33,4.5,4.33,4.13,4.5,2,36
256,7,2.2,6.83,5.87,6.5,7,6.5,7,3.25,1,61
257,6,2.2,5.72,5.33,5.25,6.5,5.67,5,3.5,1,59
258,3,6.2,5.43,4.73,3.25,7,5.17,4.13,2,1,40
259,5.38,1.6,6.43,6.47,6.33,7,6.67,5.63,3.25,1,26
260,5.5,2.6,5.79,5.53,4.67,6.25,5,6.13,3.5,2,51
261,7,2.6,5.85,5.53,5.67,7,5.17,5.38,5.25,2,28
262,5.88,2.4,5.11,5.27,5.33,4.75,5.33,5.25,2,2,30
263,5.13,3.6,5.82,5.87,5.42,7,5.83,4.63,3.75,1,59
264,,5.4,5.07,5.47,3.75,5.5,5.33,4.38,3,1,37
265,6.63,1.4,5.88,5.93,4.75,6.75,6,4.88,1.25,,56
266,5.25,3,4.36,4.87,5.25,4.25,4.33,4.5,5.5,1,32
267,4.25,3,5.25,4.8,4.83,5.75,6,4,4,2,45
268,4.75,2.2,4.68,5.4,5.25,5,4.17,4.88,5.25,2,25
269,5.88,2.4,5.68,4.07,4.83,6.75,6.17,4.13,2.75,2,45
270,4.88,4,5.35,5.2,5,6,5.67,4.38,5.5,1,76
271,,5.2,5.01,3.73,3.42,5.75,5.17,4.13,2,,27
272,4.63,4.4,4.07,4.27,4.25,3,3.83,5.38,3.75,2,31
273,3.75,3.6,5.83,3.2,3.42,7,6.5,4,1.75,,39
274,3.88,4.8,6.07,5.87,6,6.5,6.33,5.38,4.75,2,29
275,4.25,4,5.24,2.93,2.58,5.25,5.33,5.13,1.75,2,23
276,5.88,1.4,5.13,3.6,3.75,6,5,4.38,2.75,1,61
277,3.63,1.4,6.18,4.93,5.42,6.25,6.67,5.63,2.75,2,31
278,4.5,2.4,4.28,4.53,4.92,4.5,4.33,4,4.75,2,32
279,5.25,3.6,5.89,6.2,7,5.5,6.67,5.5,3.75,1,34
280,5.5,5.4,4.44,4.67,6,4,3.83,5.5,4.25,1,45
281,5.63,3.2,5.72,5.13,3.42,6.25,5.17,5.75,1,,25
282,5.88,4,5.75,3.67,4.5,6.25,5.5,5.5,3,2,63
283,6.13,1.6,4.78,4.6,5.42,4.5,4.33,5.5,3.25,1,26
284,6.25,2.2,6.72,6.6,7,7,6.17,7,6.5,2,35
285,4.88,1.8,4.53,3,3.75,4.5,4.83,4.25,1,1,27
286,7,1.6,4.86,5,5.58,5,4.83,4.75,5.25,2,41
287,5.88,1.6,5.47,5.27,5.17,5.5,5.67,5.25,6,2,69
288,4,2,5.29,3.73,4.42,5,6,4.88,4.5,1,59
289,5.5,5,5.89,4.6,4.33,6.25,6.17,5.25,1.75,2,26
290,,,4.9,6.8,6,4.5,4,6.2,4.75,1,60
291,4.75,3.2,4.07,3.73,4.08,4.75,4.33,3.13,3,1,60
292,5.13,5.2,5.57,5.33,4.75,5.75,6.83,4.13,3.25,2,64
293,4.13,4.4,3.86,4.33,4.75,3.75,3.83,4,4,2,28
294,4.63,1.8,6.08,4.91,5.56,6,5.5,6.75,4,2,27
295,4.63,4,5.31,6.13,5.67,6,5.17,4.75,4.5,2,31
296,5.5,3.6,6.19,5.47,7,5.5,6.33,6.75,5.5,1,43
297,6.63,3.6,5.11,4,4.75,5.25,3.83,6.25,6.25,2,34
298,4.25,1.4,1.61,3.27,2.75,1,1.83,2,3.5,1,65
299,4.88,2.4,4.57,5.07,5.83,4.5,4.83,4.38,5.5,2,27
300,6.88,2.4,6.35,5.8,5.5,7,6.67,5.38,1,1,38
301,7,1,4.83,4.4,5.5,5.5,5,4,1.75,1,28
302,6.25,4.2,6.06,5.47,4.83,6.25,5.67,6.25,3,2,42
303,5.63,5,6.18,5.87,5.58,6.75,6.17,5.63,4.25,2,46
304,4.13,2,4,6.13,7,3,4.5,4.5,4.75,1,40
305,6.75,1.2,6,5.6,5.83,7,6.5,4.5,4,2,65
306,5.88,4,6.07,5.27,6.5,7,6.33,4.88,4.25,1,28
307,5.63,5.4,5.99,4.73,4.67,6,6.33,5.63,1.75,1,23
308,5.75,5.2,5.25,3.27,4.33,5.25,5.5,5,1.5,1,21
309,5.25,4,4.96,5.53,5.75,4.75,4.5,5.63,4.5,2,29
310,4.88,1.6,4.18,4,5,4,3.67,4.88,4.25,2,35
311,3.88,5.6,6.06,4.07,4.42,7,6.17,5,3,1,37
312,5,5.6,6.15,3.67,4.33,6.75,6.33,5.38,1.75,2,28
313,5.75,2,5.46,3.47,3.83,6,5.5,4.88,2.25,2,68
314,5,2.2,5.94,5.33,5.67,6.25,6.33,5.25,2,2,67
315,5.5,4.2,5.69,5.67,5.92,7,5.33,4.75,3.5,2,42
316,4.75,1.8,4.79,5.47,6.17,4.75,5,4.63,6,1,56
317,5.25,5,5.68,4.87,5.08,7,5.67,4.38,2.75,1,49
318,6.13,2.2,5.17,5.2,4.75,6,5.5,4,4.25,1,54
319,3.75,1,3.24,4.8,3.83,3.25,2.83,3.63,5.5,1,44
320,4.75,4.8,5.68,5.4,5.83,6.25,5.67,5.13,4.5,2,22
321,5.5,6.2,4.94,5.27,6.25,5,4.33,5.5,4,2,20
322,5.13,3.4,4.64,4.27,4.83,5.75,4.67,3.5,2.75,1,71
323,4.13,4.6,4,4.27,4.67,3.75,4.5,3.75,4.25,1,25
324,5.88,1.2,5.01,6.07,5.17,5.25,5.17,4.63,4.75,2,52
325,3.88,2,5.4,4.53,6.25,5.5,5.33,5.38,1.5,2,43
326,5,4,5.42,4.07,6.17,5.75,5,5.5,2.25,2,56
327,5.75,2.4,5.38,5.13,5.42,4.75,6,5.38,5,1,42
328,5.63,2.6,5.67,3.73,4.33,6.5,5.5,5,3,2,26
329,6,2.6,4.56,6.2,6.58,4.5,3.67,5.5,6.75,1,46
330,6.38,4.8,6.43,5.53,6.42,7,6.17,6.13,5.5,1,18
331,6.5,7,6.42,5.33,6.08,6.75,6.5,6,3.25,2,35
332,,3,4.94,4.4,4.67,5,4.83,5,4.5,1,19
333,6.63,2.4,5.63,6.33,6.75,7,6,3.88,5.75,2,36
334,6,1,5.03,5.4,5.67,5,4.83,5.25,3,1,50
335,3.75,2.2,3.76,4.4,4.25,4,3.67,3.63,4,1,44
336,3.63,2.4,4.99,3.93,4.92,5.5,5.83,3.63,1.75,1,26
337,5,2.6,4.19,5.13,4.5,5,4.33,3.25,2.5,2,36
338,5.38,2.4,6.32,5.53,5.67,7,6.33,5.63,3,2,31
339,5.75,2.8,6.13,5.87,6.42,6.5,6,5.88,4.75,2,74
340,4.38,4.2,5.83,5.2,4.75,6.25,5.5,5.75,2.25,2,39
341,5.5,3.6,5,5.53,7,6,5.5,3.5,,1,63
342,4,4,5.19,2.2,2.5,5.25,5.83,4.5,1,2,39
